UNIQUE KEY,DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,PERSONS INJURED
3597624,1/12/2017,14:30,QUEENS,11385,40.7053752,-73.8686063,"(40.7053752, -73.8686063)",78 AVENUE,80 STREET,,2
3597259,1/12/2017,14:40,,,,,,FLATBUSH AVENUE,PLAZA STREET EAST,,0
3597531,1/12/2017,14:40,,,40.5931634,-73.9085863,"(40.5931634, -73.9085863)",,,,0
3597417,1/12/2017,14:40,,,40.8421121,-73.8255568,"(40.8421121, -73.8255568)",,,,0
3598097,1/12/2017,14:41,BROOKLYN,11226,40.6502786,-73.9595513,"(40.6502786, -73.9595513)",,,2127      CHURCH AVENUE,1
3597097,1/12/2017,14:41,QUEENS,11365,40.7398989,-73.7862437,"(40.7398989, -73.7862437)",,,61-26     188 STREET,0
3597805,1/12/2017,14:41,,,,,,WESTERVELT AVENUE,BENZIGER AVENUE,,0
3597157,1/12/2017,14:45,QUEENS,11375,40.7106276,-73.8518918,"(40.7106276, -73.8518918)",70 DRIVE,METROPOLITAN AVENUE,,0
3598420,1/12/2017,14:45,BROOKLYN,11223,40.5886305,-73.9679705,"(40.5886305, -73.9679705)",AVENUE Y,EAST 2 STREET,,1
3597614,1/12/2017,14:45,BRONX,10460,40.839799,-73.8735956,"(40.839799, -73.8735956)",MORRIS PARK AVENUE,EAST TREMONT AVENUE,,0
3597055,1/12/2017,14:45,BROOKLYN,11217,40.6862731,-73.9781133,"(40.6862731, -73.9781133)",,,300       ASHLAND PLACE,0
3597348,1/12/2017,14:45,BROOKLYN,11236,40.6404609,-73.9012173,"(40.6404609, -73.9012173)",AVENUE J,EAST 94 STREET,,0
3600555,1/12/2017,14:45,,,40.59907,-74.12695,"(40.59907, -74.12695)",,,35        CHERRY PLACE,0
3597099,1/12/2017,14:45,QUEENS,,40.720103,-73.7903765,"(40.720103, -73.7903765)",UTOPIA PARKWAY,GRAND CENTRAL PARKWAY,,1
3597077,1/12/2017,14:50,BRONX,10458,40.8688921,-73.8888778,"(40.8688921, -73.8888778)",,,266       EAST 198 STREET,0
3597068,1/12/2017,14:50,QUEENS,11413,40.6647775,-73.7599476,"(40.6647775, -73.7599476)",,,145-51    ARTHUR STREET,0
3597114,1/12/2017,14:50,STATEN ISLAND,10314,40.6100867,-74.1166665,"(40.6100867, -74.1166665)",LORTEL AVENUE,SLOSSON AVENUE,,0
3598722,1/12/2017,14:50,BROOKLYN,11230,,,,NEWKIRK AVENUE,OCEAN PARKWAY,,0
3597340,1/12/2017,14:50,BROOKLYN,11212,40.6698234,-73.9098038,"(40.6698234, -73.9098038)",THATFORD AVENUE,PITKIN AVENUE,,0
3597081,1/12/2017,14:50,STATEN ISLAND,10306,,,,HYLAN BOULEVARD,OTIS AVENUE,,0
3597589,1/12/2017,14:51,,,,,,,,,0
